Date,Open,High,Low,Close,Adj Close,Volume
7/27/2016,948.400024,962.200012,934.700012,948.5,899.168823,919423
7/28/2016,943.700012,952.900024,936.200012,948.900024,899.548157,363485
7/29/2016,952,993.400024,950.25,987.799988,936.424927,1663688
8/1/2016,993.549988,997.700012,965.049988,971.650024,921.114929,726829
8/2/2016,921,947.400024,860.25,866.049988,821.007019,2626192
8/3/2016,869.950012,883.900024,855.049988,862.849976,817.973511,625649
8/4/2016,864.950012,870,824,827.450012,784.414673,600633
8/5/2016,829.950012,839.5,818,821.549988,778.821533,690586
8/8/2016,824.950012,839.5,816.099976,827.5,784.462097,634691
8/9/2016,827.5,827.5,811,812.900024,770.621399,627826
8/10/2016,815,819,795,800.599976,758.961121,594883
8/11/2016,803,808,790.099976,793.5,752.230408,997841
8/12/2016,795,805,791,800.799988,759.150635,396834
8/16/2016,805.75,844.650024,805.75,826.400024,783.41925,822545
8/17/2016,843.799988,863,840.25,858.200012,813.565369,873385
8/18/2016,862.299988,883.950012,855,880.349976,834.563293,524320
8/19/2016,881.599976,884.900024,863,880.700012,834.895203,307237
8/22/2016,881.900024,904,881.900024,901.900024,854.992554,500464
8/23/2016,906.799988,906.799988,891,895.049988,848.498779,232745
8/24/2016,898.299988,898.299988,860.049988,878.900024,833.188782,693603
8/25/2016,880,885.900024,869,881.299988,835.463928,193479
8/26/2016,875,889,855,856.799988,812.238159,288516
8/29/2016,860,874.849976,857,869.099976,823.898438,147557
8/30/2016,870,886.700012,870,880.950012,835.132202,215703
8/31/2016,884,894.950012,874,882.599976,836.69635,269825
9/1/2016,893.400024,893.799988,874,877.150024,831.529785,231230
9/2/2016,881.799988,885,861.099976,870.5,825.225647,187496
9/6/2016,875,882.849976,845,868.900024,823.708923,227442
9/7/2016,872.400024,881.349976,863,871.150024,825.841797,843777
9/8/2016,873,875.849976,865,867.5,822.381592,169155
9/9/2016,869.5,875,859.75,863.450012,818.542236,161598
9/12/2016,845,877,844,864.950012,834.460754,307483
9/14/2016,869.799988,876,860,861.599976,831.22876,111706
9/15/2016,862,881.900024,862,869.5,838.850281,383104
9/16/2016,877.900024,879,861,866.900024,836.34198,427429
9/19/2016,874.5,874.799988,863,864.900024,834.412476,211338
9/20/2016,868,870,855,858.25,827.996948,337633
9/21/2016,861.400024,890,860.150024,883.549988,852.405029,752921
9/22/2016,891.099976,908.049988,884,893.049988,861.57019,609052
9/23/2016,896.599976,936.75,896.599976,921.349976,888.872559,1278411
9/26/2016,923.700012,950,922.099976,938.950012,905.852234,739667
9/27/2016,943.799988,944.700012,917.200012,924.599976,892.007996,414999
9/28/2016,925,929,915,920.900024,888.438538,231570
9/29/2016,919.299988,927.75,890,903.650024,871.796509,643986
9/30/2016,900,920.700012,893,915.700012,883.421814,345526
10/3/2016,927,977.799988,916.450012,944.849976,911.544189,331612
10/4/2016,951.799988,977,947,950.799988,917.284485,297524
10/5/2016,954,961.950012,940.049988,949.900024,916.41626,263697
10/6/2016,954.950012,954.950012,934.049988,937.049988,904.019165,155920
10/7/2016,938,955,930,949.900024,916.41626,322078
10/10/2016,955.799988,955.799988,933.099976,936.75,903.729736,68172
10/13/2016,931.900024,945,927,935.75,902.765015,133492
10/14/2016,934,952.799988,924.849976,934.400024,901.462585,275397
10/17/2016,934.099976,940,928.150024,935.150024,902.186218,64121
10/18/2016,931.049988,944.400024,930,938.200012,905.128662,94996
10/19/2016,940,957,940,948.150024,914.727905,234827
10/20/2016,954.700012,954.700012,933.349976,937.950012,904.887451,297214
10/21/2016,939.799988,945,930,936.200012,903.199219,90044
10/24/2016,938.400024,940.700012,925,931.950012,899.098938,49344
10/25/2016,932,940,923,925.5,892.876343,72409
10/26/2016,925,946.900024,924.549988,931.599976,898.76123,255141
10/27/2016,928,940,920,937.75,904.694458,149043
10/28/2016,941.799988,941.799988,925,930.700012,897.893066,86552
11/1/2016,945,956.900024,936.200012,940.200012,907.058167,187299
11/2/2016,934,940.900024,926.900024,935.150024,902.186218,57202
11/3/2016,937,940.900024,926.900024,933,900.112,80091
11/4/2016,933.549988,934.950012,908.150024,919.75,887.329041,574491
11/7/2016,925.400024,934.849976,923.200012,925.25,892.635132,68152
11/8/2016,931.900024,945,921,927.049988,894.371643,143738
11/9/2016,865,965.950012,806.549988,948.599976,915.162048,1030494
11/10/2016,950,950,935,936.650024,903.633301,188719
11/11/2016,939.799988,939.799988,905.049988,915.25,882.987671,487903
11/15/2016,908,920,870,883.599976,852.453247,277705
11/16/2016,888,892.849976,825.049988,833.400024,804.022827,212094
11/17/2016,838,869,833.950012,860.200012,829.878174,673829
11/18/2016,866.799988,866.799988,839,848.900024,818.97644,324405
11/21/2016,848.5,858.950012,841,850.700012,820.713074,174629
11/22/2016,850.900024,865,845,858.700012,828.43103,244793
11/23/2016,870,872,850.5,869.5,838.850281,119334
11/24/2016,852.150024,870.200012,852.150024,867.299988,836.727844,173590
11/25/2016,870,876,851.349976,870.150024,839.477417,271148
11/28/2016,861.150024,927.900024,861.150024,888.099976,856.794617,348572
11/29/2016,888.5,890,865.549988,874.549988,843.722229,157449
11/30/2016,877.700012,885.75,855,859.799988,829.492188,174464
12/1/2016,855,859.950012,835,838.549988,808.991272,230524
12/2/2016,837,850,830,843.25,813.525574,165801
12/5/2016,844,854,842,849.650024,819.700073,198630
12/6/2016,852.099976,854.849976,845.099976,849.25,819.314087,144450
12/7/2016,855.400024,855.400024,845.650024,849.299988,819.362366,176568
12/8/2016,851.599976,854.200012,846.099976,851.150024,821.147156,84086
12/9/2016,860,860,845,847.599976,817.72229,86005
12/12/2016,842.099976,846.849976,825,828,798.81311,65535
12/13/2016,828.700012,832,811,816.25,787.477417,105529
12/14/2016,815,825,815,817.799988,788.972656,160724
12/15/2016,818,834,816.099976,829.549988,800.308533,54479
12/16/2016,835.150024,837.049988,827,830.299988,801.032104,87150
12/19/2016,830.349976,835.950012,820,832.799988,803.44397,43458
12/20/2016,826.25,838,826.25,833.150024,803.781677,76823
12/21/2016,836.950012,837.900024,826.700012,832.349976,803.009827,106542
12/22/2016,830,834,826.049988,828.25,799.054382,43927
12/23/2016,828.700012,830.700012,822.549988,825.049988,795.967102,75682
12/26/2016,825.450012,840,820,828.599976,799.392029,322816
12/27/2016,834.700012,835,825,830.25,800.983826,36244
12/28/2016,834.799988,837.299988,825,829.799988,800.549744,157992
12/29/2016,832.150024,832.950012,811.650024,815.549988,786.802063,78862
12/30/2016,819.799988,825.900024,815.700012,821.450012,792.494141,70720
1/2/2017,816.700012,828.599976,812,822.349976,793.362366,81275
1/3/2017,822,829.849976,814.400024,819.849976,790.950439,72776
1/4/2017,823,855,820.099976,843.400024,813.670288,202966
1/5/2017,844,848.700012,836.049988,841.849976,812.174988,92775
1/6/2017,842.299988,849.900024,836,840.799988,811.161987,79099
1/9/2017,837,855,836.700012,852.700012,822.642578,94413
1/10/2017,858,865,851.599976,860,829.685181,111428
1/11/2017,856.099976,875,856.099976,869.049988,838.416199,595097
1/12/2017,869.900024,883.299988,869,877.799988,846.857727,188516
1/13/2017,878.900024,884,870.200012,880.799988,849.752014,122798
1/16/2017,880,888.700012,874.950012,875.799988,844.928284,81248
1/17/2017,884,884,873,878.25,847.29187,56039
1/18/2017,880,889,873.5,879.650024,848.642578,65358
1/19/2017,880,918.299988,879.950012,904.150024,872.278931,394108
1/20/2017,908.5,929,905.349976,925.700012,893.069275,312005
1/23/2017,923.900024,944,920.5,934.5,901.559082,186383
1/24/2017,943.200012,943.200012,920,930,897.217712,93661
1/25/2017,926.700012,932,915,929,896.25293,106477
1/27/2017,930,935,924.799988,928,895.288208,85563
1/30/2017,928.700012,940,919.25,935.150024,902.186218,87546
1/31/2017,930,934.299988,897,903,871.169434,130495
2/1/2017,850,869.75,820,836.549988,807.061768,1099739
2/2/2017,837,862,830.599976,855.650024,825.488586,400730
2/3/2017,862.900024,862.900024,855,858.599976,828.334595,103117
2/6/2017,839.700012,872.400024,832,860.950012,830.601685,395028
2/7/2017,863.400024,863.400024,845.349976,848.200012,818.301208,306822
2/8/2017,848.200012,855,845.549988,849.950012,819.989441,186415
2/9/2017,853,854.950012,841.099976,846.450012,816.612793,220283
2/10/2017,847.5,850,835,836.900024,807.399475,70235
2/13/2017,840,840,827,830.5,801.225037,367676
2/14/2017,832.049988,835,815,818.650024,789.792786,156391
2/15/2017,818.650024,824.599976,818.049988,819.75,790.854004,295066
2/16/2017,820,825,819.5,823.599976,794.568298,183828
2/17/2017,823.5,845,823.5,829.299988,800.067383,111320
2/20/2017,836,839.700012,826,829.450012,800.212097,137110
2/21/2017,831.799988,854.599976,831.799988,841.549988,811.885498,360189
2/22/2017,847.650024,857.700012,840,844.849976,815.069214,572320
2/23/2017,847.099976,849.900024,836.5,839.599976,810.004272,85013
2/27/2017,844.700012,870.5,840,865.599976,835.087769,465260
2/28/2017,870,877,851.099976,856.900024,826.694519,315831
3/1/2017,860.150024,889,855,870.849976,840.15271,670113
3/2/2017,875,877.700012,859.900024,864.25,833.7854,203624
3/3/2017,864,868.349976,852.099976,859.099976,828.816895,113486
3/6/2017,868,868,855,860.049988,829.733398,69625
3/7/2017,863.049988,883.700012,855,860.099976,829.781677,588846
3/8/2017,865,897.700012,855.25,879.799988,848.787231,2255569
3/9/2017,879.799988,887,871.299988,875.150024,844.301208,417100
3/10/2017,879.700012,881.450012,869,871.099976,840.393921,567388
3/14/2017,885,896.700012,873.349976,876.150024,845.265991,981664
3/15/2017,872,887.5,872,881.450012,850.379089,480120
3/16/2017,881.5,897,881.5,891.400024,859.978333,335288
3/17/2017,892,925,892,920.75,888.293762,1064600
3/20/2017,930.700012,930.700012,917.450012,919.950012,887.521973,438818
3/21/2017,929.700012,940,909,935.049988,902.089722,271465
3/22/2017,923,935.900024,915.049988,934.75,901.800232,322521
3/23/2017,945,990,935,979.5,944.972839,1653124
3/24/2017,975.150024,1045,962.5,1020.849976,984.865234,1654653
3/27/2017,1020,1063,1015.099976,1052.650024,1015.544312,1174991
3/28/2017,1054.900024,1062.349976,1010.650024,1036.5,999.963684,929712
3/29/2017,1039.949951,1042.949951,1002,1024.199951,988.097168,449688
3/30/2017,1025.400024,1051,1014,1044.150024,1007.343933,1024825
3/31/2017,1052,1094,1040.550049,1051.400024,1014.338318,1946878
4/3/2017,1060,1074.849976,1038.550049,1043,1006.234436,539637
4/5/2017,1047,1052,1027,1044.25,1007.440369,372475
4/6/2017,1038,1056.900024,1035.699951,1050.199951,1013.180664,451785
4/7/2017,1040,1044.400024,1022.599976,1038.800049,1002.182617,607270
4/10/2017,1037.900024,1098.5,1030,1085.699951,1047.429321,671762
4/11/2017,1100.5,1108.599976,1086.150024,1092.75,1054.230835,476595
4/12/2017,1095,1128,1060.5,1098.849976,1060.115723,953902
4/13/2017,1095,1117,1088.349976,1091.599976,1053.121338,391381
4/17/2017,1092.900024,1100.5,1088.400024,1091.900024,1053.410767,311165
4/18/2017,1091.150024,1111,1071.650024,1076.800049,1038.84314,594724
4/19/2017,1068.800049,1094.949951,1068.800049,1086.099976,1047.815186,243445
4/20/2017,1085,1164,1084.949951,1157.550049,1116.746704,1285491
4/21/2017,1167,1168.699951,1104.25,1111.900024,1072.705811,792156
4/24/2017,1115,1140.150024,1094,1120.949951,1081.436768,387193
4/25/2017,1125.199951,1128.400024,1103,1110.25,1071.114014,267418
4/26/2017,1110,1129,1103.099976,1115.599976,1076.275269,400687
4/27/2017,1120.800049,1133.949951,1107.150024,1119.550049,1080.086182,411378
4/28/2017,1121.5,1125,1098.199951,1105.849976,1066.869019,315104
5/2/2017,1108.949951,1130,1101.449951,1124.949951,1085.295776,670639
5/3/2017,1132.699951,1145,1110.800049,1116.050049,1076.709473,511365
5/4/2017,1118.599976,1124.449951,1103,1106.5,1067.496094,213712
5/5/2017,1115,1152,1109.550049,1115.25,1075.937744,872109
5/8/2017,1116.650024,1137,1115.400024,1118.849976,1079.410767,295664
5/9/2017,1129.75,1147.900024,1117.199951,1140.25,1100.056396,974100
5/10/2017,1130,1139,1102.099976,1123.900024,1084.282837,1199062
5/11/2017,1120.900024,1130,1075,1092.599976,1054.08606,709630
5/12/2017,1092.599976,1104.400024,1075.900024,1092.800049,1054.279053,279751
5/15/2017,1094,1119.900024,1084.449951,1111.400024,1072.223389,490280
5/16/2017,1117,1124.900024,1108.199951,1115.699951,1076.371704,278820
5/17/2017,1115.650024,1130.25,1098.800049,1112.699951,1073.477539,181077
5/18/2017,1102,1107.199951,1090,1098.199951,1059.488647,275561
5/19/2017,1102.849976,1104.300049,1057.099976,1064.449951,1026.928467,350926
5/22/2017,1064.449951,1074.949951,1023.150024,1041.650024,1004.932129,701066
5/23/2017,1052.5,1058,1004,1045.25,1008.405212,454052
5/24/2017,1047.099976,1076.900024,1041.699951,1057.75,1020.4646,567161
5/25/2017,1059,1077,1050.099976,1072.099976,1034.308716,330265
5/26/2017,1091,1108,1082.050049,1091.849976,1053.362549,235299
5/29/2017,1082,1095.550049,1068,1077.150024,1039.180786,184122
5/30/2017,1075,1080.650024,1048.699951,1060.150024,1022.779968,270961
5/31/2017,1053,1120.949951,1050.5,1106.900024,1067.881958,799462
6/1/2017,1119.800049,1134.650024,1100,1130.25,1090.408936,362638
6/2/2017,1135.25,1144.199951,1111.550049,1116.400024,1077.047119,348414
6/5/2017,1117.199951,1141,1109.800049,1134.900024,1094.895142,324527
6/6/2017,1138,1158,1103.699951,1113.150024,1073.911743,632030
